TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-20
0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
6,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
9,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
10,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
11,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
12,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
13,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
14,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,74
15,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,48,77
16,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,48,77
17,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,48,77
18,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,80
19,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,80
20,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,80
21,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,83
22,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,83
23,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,83
24,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,83
25,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,83
26,56,56,56,56,56,56,56,56,56,56,56,56,56,56,60,60,60,60,60,85
27,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,64,64,64,88
28,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,64,64,64,88
29,64,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,68,68,68,91
30,68,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,71,71,71,94
31,68,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,71,71,71,94
32,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,75,75,75,97
33,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,75,75,75,97
34,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,75,75,75,97
35,75,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,78,78,78,99
36,75,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,78,78,78,99
37,78,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,81,81,81,101
38,81,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,84,84,84,105
39,84,84,84,84,84,84,84,84,84,84,84,84,84,84,86,86,86,86,86,109
40,86,86,86,86,86,86,86,86,86,86,86,86,86,86,88,88,88,88,88,112
41,91,91,91,91,91,91,91,91,91,91,91,91,91,91,94,94,94,94,94,121
42,94,94,94,94,94,94,94,94,94,94,94,94,94,94,97,97,97,97,97,125