TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
1,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
2,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
3,40,40,40,40,40,40,44,44,49,49,5.3,53,57,61,61,69,73,78,78,78,78,78,83,87,94
4,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
5,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
6,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
7,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
8,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
9,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
10,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
11,40,40,40,40,40,40,44,44,49,49,53,53,57,61,61,69,73,78,78,78,78,78,83,87,94
12,44,44,44,44,44,44,49,49,53,53,57,57,61,65,65,73,76,81,81,81,81,81,85,90,97
13,44,44,44,44,44,44,49,49,53,53,57,57,61,65,65,73,76,81,81,81,81,81,85,90,97
14,44,44,44,44,44,44,49,49,53,53,57,57,61,65,65,73,76,81,81,81,81,81,85,90,97
15,44,44,44,44,44,44,49,49,53,53,57,57,61,65,65,73,76,81,81,81,81,81,85,90,97
16,49,49,49,49,49,49,53,53,57,57,61,61,65,69,69,76,78,83,83,83,83,83,87,94,100
17,49,49,49,49,49,49,53,53,57,57,61,61,65,69,69,76,78,83,83,83,83,83,87,94,100
18,49,49,49,49,49,49,53,53,57,57,61,61,65,69,69,76,78,83,83,83,83,83,87,94,100
19,53,53,53,53,53,53,57,57,61,61,65,65,69,73,73,78,81,85,85,85,85,85,90,97,103
20,53,53,53,53,53,53,57,57,61,61,65,65,69,73,73,78,81,85,85,85,85,85,90,97,103
21,57,57,57,57,57,57,61,61,65,65,69,69,73,76,76,81,83,87,87,87,87,87,94,100,106
22,61,61,61,61,61,61,65,65,69,69,73,73,76,78,78,83,85,90,90,90,90,90,97,103,109
23,61,61,61,61,61,61,65,65,69,69,73,73,76,78,78,83,85,90,90,90,90,90,97,103,109
24,65,65,65,65,65,65,69,69,73,73,76,76,78,81,81,85,87,94,94,94,94,94,100,106,112
25,69,69,69,69,69,69,73,73,76,76,78,78,81,83,83,87,90,97,97,97,97,97,103,109,114
26,73,73,73,73,73,73,76,76,78,78,81,81,83,85,85,90,94,100,100,100,100,100,106,112,117
27,76,76,76,76,76,76,78,78,81,81,83,83,85,87,87,94,97,103,103,103,103,103,109,1 14,120
28,76,76,76,76,76,76,78,78,81,81,83,83,85,87,87,94,97,103,103,103,103,103,109,114,120
29,78,78,78,78,78,78,81,81,83,83,85,85,87,90,90,97,100,106,106,106,106,106,112,117,123
30,81,81,81,81,81,81,83,83,85,85,87,87,90,94,94,100,103,109,109,109,109,109,114,120,126
31,81,81,81,81,81,81,83,83,85,85,87,87,90,94,94,100,103,109,109,109,109,109,114,120,126
32,81,81,81,81,81,81,83,83,85,85,87,87,90,94,94,100,103,109,109,109,109,109,114,120,126
33,83,83,83,83,83,83,85,85,87,87,90,90,94,97,97,103,106,112,112,112,112,112,117,123,129
34,85,85,85,85,85,85,87,87,90,90,94,94,97,100,100,106,109,114,114,114,114,114,120,126,132
35,87,87,87,87,87,87,90,90,94,94,97,97,100,103,103,109,112,117,117,117,117,1 17,123,129,136
36,87,87,87,87,87,87,90,90,94,94,97,97,10ÎŸ,103,103,109,112,117,117,117,117,117,123,129,136
37,90,90,90,90,90,90,94,94,97,97,100,100,103,106,106,112,114,120,120,120,120,120,126,132,140
38,94,94,94,94,94,94,97,97,100,100,103,103,106,109,109,114,117,123,123,123,123,123,129,136,144
39,97,97,97,97,97,97,100,100,103,103,106,106,109,112,112,117,120,126,126,126,126,126,132,140,148
40,100,100,100,100,100,100,103,103,106,106,109,109,112,114,114,120,123,129,129,129,129,129,136,144,152